Game;time;subject;group;grsubject;type;gain;penalty;x;s1;s2;s3;s4;s5;AcceptAdvice;CalcCount;CalcAdviceCount
36;20;3;1;3;1;6,593441094;0,188888889;45;20;20;75;;;0;1;0
36;21;1;1;1;9;7,265135895;0,083333333;45;80;5;30;;;1;7;2
36;21;2;1;2;25;7,387734479;-0,316666667;25;40;50;25;;;0;2;0
36;21;3;1;3;1;6,54899665;0,233333333;45;15;20;80;;;0;0;0
36;22;1;1;1;9;7,177427168;-0,059375;41,66666667;75;11,25;28,75;;;1;0;3
36;22;2;1;2;25;7,536878378;0,2359375;35,41666667;25;75;15;;;0;9;0
36;22;3;1;3;1;6,414884924;-0,1765625;37,91666667;25;20;70;;;0;0;0
36;23;1;1;1;9;6,965102617;0,269075521;43,33333333;80;20;15;;;1;0;1
36;23;2;1;2;25;7,414285083;-1,358984375;11,66666667;50;15;49,375;;;1;15;2
36;23;3;1;3;1;6,70699224;1,089908854;59,79166667;0;0;115;;;0;2;0
36;24;1;1;1;9;6,657600047;0,51875;42,5;90;-15;40;;;1;0;10
36;24;2;1;2;25;6,075;-1,075;0;37,5;15;62,5;;;1;0;1
36;24;3;1;3;1;8,0169641;0,55625;72,5;0;0;115;;;0;0;0
36;25;1;1;1;9;7,211027358;-0,577777778;35;80;-15;50;;;1;0;6
36;25;2;1;2;25;6,210583664;0,372222222;18,33333333;25;70;10;;;0;8;3
36;25;3;1;3;1;7,497257783;0,205555556;58,33333333;0;0;115;;;0;0;0
36;26;1;1;1;9;6,106975927;0,003125;28,33333333;80;3,75;31,25;;;1;0;1
36;26;2;1;2;25;5,584368791;-0,1453125;4,583333333;0;0;0;;;0;0;0
36;26;3;1;3;1;6,293390692;0,1421875;40,41666667;5;10;90;;;0;1;0
36;27;1;1;1;9;6,218185148;-0,531944444;23,33333333;70;2,5;42,5;;;1;0;3
36;27;2;1;2;25;5,104178005;-0,021527778;0,833333333;0;0;0;;;0;0;0
36;27;3;1;3;1;6,760897197;0,553472222;52,5;0;0;115;;;0;1;0
36;28;1;1;1;9;5,264018481;0,422222222;23,33333333;70;0;45;;;1;0;2
36;28;2;1;2;25;6,832750021;-0,377777778;16,66666667;0;50;65;;;0;7;0
36;28;3;1;3;1;8,762242332;-0,044444444;75;0;0;115;;;0;1;0
36;29;1;1;1;9;6,502156089;0,255555556;36,66666667;80;-15;50;;;1;0;3
36;29;2;1;2;25;6,130003353;-0,652777778;5;30;30;55;;;0;16;3
36;29;3;1;3;1;8,224455882;0,397222222;73,33333333;0;0;115;;;0;1;0
36;30;1;1;1;9;6,376942443;-0,131944444;30;90;-22,5;47,5;;;1;0;1
36;30;2;1;2;25;6,226014951;1,465972222;34,16666667;0;115;0;;;0;0;0
36;30;3;1;3;1;8,5335648;-1,334027778;50,83333333;0;10;105;;;0;0;0
36;31;1;1;1;9;6,341033591;0,538888889;38,33333333;80;22,5;12,5;;;1;0;1
36;31;2;1;2;25;8,046885487;-1,154861111;22,5;35;30;50;;;0;7;0
36;31;3;1;3;1;6,811454429;0,615972222;54,16666667;0;15;100;;;0;1;0
36;32;1;1;1;9;6,940621612;0,177430556;41,66666667;80;-8,75;43,75;;;1;0;2
36;32;2;1;2;25;6,183138767;-0,518923611;7,083333333;35;30;50;;;0;0;0
36;32;3;1;3;1;7,859116678;0,341493056;66,25;10;0;105;;;0;1;0
36;33;1;1;1;9;-9993,650488;9999,895486;30;80;-13,75;48,75;;;1;0;1
36;33;2;1;2;25;-10000,1658;0,165798611;-1,25;0;0;0;;;0;3;0
36;33;3;1;3;1;7,055329808;-0,061284722;47,91666667;10;10;95;;;0;1;0
36;34;1;1;1;9;6,452941094;0,329388889;37;100;-10;25;;;1;0;4
36;34;2;1;2;25;5,386334068;-0,353111111;0,333333333;0;0;0;;;0;0;0
36;34;3;1;3;1;6,327130739;0,023722222;39,33333333;11;11;93;;;0;1;0
36;35;1;1;1;9;-9993,616902;9999,993944;31,66666667;95;-10,5;30,5;;;1;0;7
36;35;2;1;2;25;-9999,485528;-0,514472222;-3,5;0;0;0;;;0;0;0
36;35;3;1;3;1;6,515095862;0,520527778;48,5;0;0;115;;;0;5;0
36;36;1;1;1;9;6,020378285;0,408722222;32,33333333;95;0;20;;;1;0;2
36;36;2;1;2;25;6,461524228;-0,545444444;10;0;0;0;;;0;0;0
36;36;3;1;3;1;5,807462611;0,136722222;34,33333333;2;30;83;;;0;1;0
36;37;1;1;1;9;6,812135895;0,536333333;45;95;1;19;;;0;2;1
36;37;2;1;2;25;6,575020916;-0,918166667;7;40;20;40;;;0;1;0
36;37;3;1;3;1;6,251416247;0,381833333;43;0;0;70;;;0;1;0
36;38;1;1;1;9;6,834580339;0,513888889;45;80;20;15;;;0;4;0
36;38;2;1;2;25;7,335583664;-0,752777778;18,33333333;40;20;55;;;0;12;2
36;38;3;1;3;1;7,018291463;0,238888889;51,66666667;15;15;85;;;0;1;0
36;39;1;1;1;9;7,072120873;0,388888889;46,66666667;80;10;25;;;0;1;1
36;39;2;1;2;25;6,769169651;-0,577777778;13,33333333;40;20;55;;;0;0;0
36;39;3;1;3;1;7,294425885;0,188888889;55;20;10;85;;;0;1;0
36;40;1;1;1;9;7,431126158;0,2065;49,33333333;78;10;27;;;0;3;1
36;40;2;1;2;25;6,134574036;-0,448333333;7,333333333;45;2;45;;;0;4;0
36;40;3;1;3;1;6,946119551;0,241833333;50,66666667;25;10;80;;;0;1;0
36;41;1;1;1;9;7,474903936;0,162722222;49,33333333;78;5;32;;;0;2;1
36;41;2;1;2;25;6,564836318;-0,373444444;13,33333333;45;25;44;;;0;12;0
36;41;3;1;3;1;7,069387667;0,210722222;52;25;10;80;;;0;1;0
36;42;1;1;1;9;6,626048193;0,450909722;41,08333333;80;5;30;;;0;2;1
36;42;2;1;2;25;5,915910199;-0,695756944;2,25;20;25;70;;;0;7;0
36;42;3;1;3;1;8,279627346;0,244847222;71,66666667;23,25;-23,25;115;;;1;0;1
36;43;1;1;1;9;6,926077141;-0,484027778;32,5;80;5;30;;;0;2;1
36;43;2;1;2;25;-9999,882639;-0,117361111;-4,166666667;0;0;0;;;0;1;0
36;43;3;1;3;1;-9993,57762;10000,60139;48,33333333;17,5;-17,5;115;;;1;0;1
36;44;1;1;1;9;6,836878311;-0,079166667;36,66666667;80;0;35;;;0;1;0
36;44;2;1;2;25;4,997906474;0,325;3,333333333;0;0;0;;;0;0;0
36;44;3;1;3;1;6,38315088;-0,245833333;36,66666667;30;10;75;;;0;1;0
36;45;1;1;1;9;8,359052743;-0,255555556;56,66666667;80;5;30;;;0;2;0
36;45;2;1;2;25;6,305110876;0,019444444;15;50;40;15;;;0;6;4
36;45;3;1;3;1;6,167013126;0,236111111;40;40;0;75;;;1;0;0
36;46;1;1;1;9;7,48878754;-0,027777778;46,66666667;80;5;30;;;0;0;0
36;46;2;1;2;25;6,727333098;-0,402777778;15;40;40;35;;;0;2;1
36;46;3;1;3;1;6,94055924;0,430555556;53,33333333;20;0;95;;;0;1;0
36;47;1;1;1;9;7,124655572;0,447222222;48,33333333;80;5;30;;;0;1;0
36;47;2;1;2;25;6,046758783;-0,419444444;6,666666667;40;5;70;;;0;4;0
36;47;3;1;3;1;7,838027454;-0,027777778;60;25;10;80;;;0;1;0
36;48;1;1;1;9;7,191414474;-0,341840278;37,91666667;85;5;25;;;0;2;1
36;48;2;1;2;25;6,949586376;1,417013889;45;-1,25;115;1,25;;;1;0;1
36;48;3;1;3;1;6,82698492;-1,075173611;32,08333333;30;15;70;;;0;1;0
36;49;1;1;1;9;7,681274965;0,422222222;56,66666667;90;25;0;;;0;1;1
36;49;2;1;2;25;7,52725033;-0,944444444;18,33333333;60;15;40;;;0;3;0
36;49;3;1;3;1;5,880902015;0,522222222;40;20;15;80;;;0;1;0
