game;time;subject;group;grSubject;type;profit;penalty;x;s1;s2;s3
36;1;2;1;2;25;8.137016403249573;0.2345625000000002;0;0;0;0
36;2;2;1;2;25;8.202386885843481;-1.972753402777778;45.08333333333334;20;75;20
36;3;2;1;2;25;6.176142227942465;-0.2812291666666665;13.80833333333333;35;40;40
36;4;2;1;2;25;5.282409744769138;-0.2720039062499999;9.75;35;40;40
36;5;2;1;2;25;7.179882125138429;0.01820789930555544;0.1041666666666667;67;24;24
36;6;2;1;2;25;7.792086617939607;-0.07306250000000003;26.8125;20;75;20
36;7;2;1;2;25;7.528651536253801;-0.4120629340277781;34.58333333333334;20;75;20
36;8;2;1;2;25;6.769388905841592;-0.680207926432292;25.64583333333333;41;50;24
36;9;2;1;2;25;6.673713197150423;1.442949191623262;12.078125;41;49;25
36;10;2;1;2;25;8.536547783284588;0.5234375000000013;40.88020833333334;0;115;0
36;11;2;1;2;25;8.873339480075352;-0.1890625000000012;57.08333333333334;0;115;0
36;12;2;1;2;25;7.722504115301732;0.6937500000000005;50.41666666666666;0;115;0
36;13;2;1;2;25;7.747899966583097;0.568750000000001;45.83333333333334;0;115;0
36;14;2;1;2;25;7.948639469057214;0.03050000000000086;44.16666666666666;0;115;0
36;15;2;1;2;25;8.00498122522929;0.5949218749999997;38.66666666666666;7.5;100;7.5
36;16;2;1;2;25;8.104585954688174;-0.5354600694444447;48.95833333333334;12.5;90;12.5
36;17;2;1;2;25;8.048441207989868;-2.991474066840276;32.29166666666666;35;50;30
36;18;2;1;2;25;7.586728465680106;-0.2659532335069447;0.5729166666666666;35;50;30
36;19;2;1;2;25;7.804551975981434;-0.5876736111111114;28.59375;35;50;30
36;20;2;1;2;25;7.363328982649181;-0.411111111111111;27.08333333333333;40;40;35
36;21;2;1;2;25;7.387734478532142;-0.3166666666666669;23.33333333333333;40;40;35
36;22;2;1;2;25;7.536878377574012;0.2359375000000001;25;40;50;25
36;23;2;1;2;25;7.414285083194984;-1.358984375;35.41666666666666;25;75;15
36;24;2;1;2;25;6.075;-1.075;11.66666666666667;50;15;49.375
36;25;2;1;2;25;6.210583663821609;0.3722222222222231;0;37.5;15;62.5
36;26;2;1;2;25;5.584368790693572;-0.1453124999999993;18.33333333333333;25;70;10
36;27;2;1;2;25;5.104178005103414;-0.02152777777777892;4.583333333333333;0;0;0
36;28;2;1;2;25;6.832750021456807;-0.3777777777777782;0.8333333333333334;0;0;0
36;29;2;1;2;25;6.13000335282944;-0.6527777777777782;16.66666666666667;0;50;65
36;30;2;1;2;25;6.226014950587329;1.465972222222221;5;30;30;55
36;31;2;1;2;25;8.046885487156223;-1.154861111111112;34.16666666666666;0;115;0
36;32;2;1;2;25;6.183138767099921;-0.5189236111111115;22.5;35;30;50
36;33;2;1;2;25;-10000.16579861111;0.1657986111111116;7.083333333333333;35;30;50
36;34;2;1;2;25;5.386334067958277;-0.3531111111111107;-1.25;0;0;0
36;35;2;1;2;25;-9999.485527777777;-0.5144722222222218;0.3333333333333333;0;0;0
36;36;2;1;2;25;6.46152422754406;-0.545444444444444;-3.5;0;0;0
36;37;2;1;2;25;6.575020916159048;-0.9181666666666667;10;0;0;0
36;38;2;1;2;25;7.335583663821611;-0.752777777777778;7;40;20;40
36;39;2;1;2;25;6.769169651446681;-0.577777777777778;18.33333333333333;40;20;55
36;40;2;1;2;25;6.13457403641066;-0.4483333333333331;13.33333333333333;40;20;55
36;41;2;1;2;25;6.564836318113348;-0.3734444444444442;7.333333333333333;45;2;45
36;42;2;1;2;25;5.91591019889972;-0.6957569444444446;13.33333333333333;45;25;44
36;43;2;1;2;25;-9999.882638888888;-0.1173611111111121;2.25;20;25;70
36;44;2;1;2;25;4.99790647422377;0.3250000000000006;-4.166666666666667;0;0;0
36;45;2;1;2;25;6.305110875892314;0.01944444444444438;3.333333333333334;0;0;0
36;46;2;1;2;25;6.727333098114537;-0.4027777777777779;15;50;40;15
36;47;2;1;2;25;6.046758783155822;-0.4194444444444445;15;40;40;35
36;48;2;1;2;25;6.949586376451864;1.417013888888891;6.666666666666667;40;5;70
36;49;2;1;2;25;7.527250330488277;-0.9444444444444451;45;-1.25;115;1.25
36;50;2;1;2;25;6.991079783099616;-1.075;18.33333333333333;60;15;40
36;51;2;1;2;25;6.83552422754406;-0.9194444444444446;10;60;15;40
36;52;2;1;2;25;6.991079783099616;-1.075;10;60;15;40
36;53;2;1;2;25;6.884613803007369;-1.111111111111111;10;60;15;40
36;54;2;1;2;25;7.035524227544061;-1.119444444444445;8.333333333333334;60;15;40
36;55;2;1;2;25;7.130300708194984;-1.075;10;50;20;40
36;56;2;1;2;25;6.913302005321839;-0.9972222222222225;11.66666666666667;50;20;40
36;57;2;1;2;25;7.072935400167417;-1.100777777777778;10;50;20;40
36;58;2;1;2;25;6.073888888888889;-0.07388888888888887;10.66666666666667;50;22;38
36;59;2;1;2;25;5.852314338711377;-0.2249999999999999;11;50;22;38
36;60;2;1;2;25;6.777812659593165;1.074999999999999;6.666666666666667;70;10;35
36;61;2;1;2;25;8.241315210026093;0.6562500000000003;36.66666666666666;5;100;10
36;62;2;1;2;25;8.961044709785201;-0.5944444444444454;54.16666666666666;5;100;10
36;63;2;1;2;25;7.585754083537075;0.6046875000000014;45;5;100;10
36;64;2;1;2;25;7.954504083537075;0.2359375000000012;42.08333333333334;5;100;10
36;65;2;1;2;25;7.745404110033117;-0.9080069444444447;42.08333333333334;5;100;10
36;66;2;1;2;25;7.168851543092156;-0.6624444444444444;21.75;45;40;30
36;67;2;1;2;25;7.249417091866254;-0.717444444444445;17.33333333333333;45;40;30
36;68;2;1;2;25;6.655916247377467;-0.0226666666666665;17.66666666666667;45;40;30
36;69;2;1;2;25;7.017411621750844;-0.1861111111111113;19;40;40;35
36;70;2;1;2;25;7.290512256309921;-0.2194444444444448;21.66666666666667;40;50;25
36;71;2;1;2;25;7.487952884282608;-0.3000000000000003;25;30;60;25
