#;f1;f2;f3;s11;s12;s13;x1;s21;s22;s23;x2;s31;s32;s33;x3
44;8.359052742984366;6.305110875892314;6.167013126321737;80;0;35;36.66666666666666;0;0;0;3.333333333333334;30;10;75;36.66666666666666
45;7.488787539644242;6.727333098114537;6.940559240276438;80;5;30;56.66666666666666;50;40;15;15;40;0;75;40
46;7.124655572178142;6.046758783155822;7.838027453684432;80;5;30;46.66666666666666;40;40;35;15;20;0;95;53.33333333333334
47;7.191414473789283;6.949586376451864;6.826984920023579;80;5;30;48.33333333333334;40;5;70;6.666666666666667;25;10;80;60
48;7.681274965206589;7.527250330488277;5.880902015210626;85;5;25;37.91666666666666;-1.25;115;1.25;45;30;15;70;32.08333333333334
49;7.631145747868607;6.991079783099616;6.458314773547883;90;25;0;56.66666666666666;60;15;40;18.33333333333333;20;15;80;40
50;7.632988905511476;6.83552422754406;6.613301611040789;90;0;25;50;60;15;40;10;0;15;100;55
51;7.631145747868607;6.991079783099616;6.458314773547883;85;0;30;48.33333333333334;60;15;40;10;0;15;100;56.66666666666666
52;7.667256858979719;6.884613803007369;6.496634944374122;90;0;25;50;60;15;40;10;0;15;100;55
53;7.284620872977575;7.035524227544061;6.650801611040789;90;0;25;50;60;15;40;8.333333333333334;0;10;105;56.66666666666666
54;7.326044461067031;7.130300708194984;6.541948129165327;90;0;25;46.66666666666666;50;20;40;10;0;10;105;56.66666666666666
55;7.36493334995592;6.913302005321839;6.693036995770105;90;5;20;48.33333333333334;50;20;40;11.66666666666667;5;10;100;53.33333333333334
56;7.317287539644242;7.072935400167417;6.592778879715194;90;0;25;48.33333333333334;50;20;40;10;5;10;100;55
57;8.150786733980386;6.073888888888889;6.674971802933022;90;0;25;46.66666666666666;50;22;38;10.66666666666667;0;10;105;56
58;8.481346808612326;5.852314338711377;6.604105059069326;80;0;35;59.33333333333334;50;22;38;11;48;11;56;43
59;7.057711644237764;6.777812659593165;7.306972647421808;80;0;35;61.66666666666666;70;10;35;6.666666666666667;35;10;70;46.66666666666666
60;6.820211644237764;8.241315210026093;5.61038898109747;80;0;35;36.66666666666666;5;100;10;36.66666666666666;25;10;80;41.66666666666666
61;6.737878704385565;8.961044709785201;5.309750425199585;70;27.5;17.5;36.66666666666666;5;100;10;54.16666666666666;35;35;45;24.16666666666667
62;6.725725926607787;7.585754083537075;6.740605533509699;80;35;0;28.33333333333333;5;100;10;45;0;0;115;41.66666666666666
63;6.784532098647712;7.954504083537075;6.328317451205464;70;16.25;28.75;28.33333333333333;5;100;10;42.08333333333334;10;10;95;44.58333333333334
64;7.344457312584911;7.745404110033117;6.108360163542839;85;16.25;13.75;33.33333333333334;5;100;10;42.08333333333334;10;10;95;39.58333333333334
65;7.446550883641686;7.168851543092156;6.554235948399769;85;16.25;13.75;46.33333333333334;45;40;30;21.75;9;9;97;46.91666666666666
66;7.449591116638674;7.249417091866254;6.463981008053286;90;0;25;49;45;40;30;17.33333333333333;12;12;91;48.66666666666666
67;8.061266932007422;6.655916247377467;6.282666666666667;93;0;22;50.33333333333334;45;40;30;17.66666666666667;13;13;89;47
68;7.664590632662452;7.017411621750844;6.447568681877293;93;2;20;61;40;40;35;19;50;15;50;35
69;7.180454206310909;7.290512256309921;6.719439229590504;90;0;25;53.33333333333334;40;50;25;21.66666666666667;30;15;70;40
70;7.186009761866464;7.487952884282608;6.506972647421808;90;0;25;46.66666666666666;30;60;25;25;20;15;80;43.33333333333334
